Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
59,"E Sulem, O Abend, A Rappoport",Semantic structural evaluation for text simplification,2018.0,"Proceedings of the 
2018 Conference of the North American Chapter of the Association for 
Computational Linguistics: Human Language Technologies, Volume 1 (Long 
Papers)",aclanthology.org,https://arxiv.org/abs/1810.05022,https://scholar.google.com/scholar?cites=11988330676253856582&as_sdt=2005&sciodt=2007&hl=en,11,2022-07-10 13:41,,,,,,,,,59,14.75,20,3,4.0,"… evaluating text simplification systems focus on evaluating lexical text aspects, … text simplification, called SAMSA. It leverages recent advances in semantic parsing to assess simplification …",https://arxiv.org/pdf/1810.05022,https://scholar.google.com/scholar?q=related:RpMHsDsbX6YJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
157,D Kauchak,Improving text simplification language modeling using unsimplified text data,2013.0,Proceedings of the 51st annual meeting of the …,aclanthology.org,https://aclanthology.org/P13-1151.pdf,https://scholar.google.com/scholar?cites=2434788969489707744&as_sdt=2005&sciodt=2007&hl=en,12,2022-07-10 13:41,PDF,,,,,,,,157,17.44,157,1,9.0,"… In this paper we examine language modeling for text simplification. Unlike some text-to-text translation tasks, text simplification is a monolingual translation task allowing for text in both …",https://aclanthology.org/P13-1151.pdf,https://scholar.google.com/scholar?q=related:4DJ57aobyiEJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
57,"S Surya, A Mishra, A Laha, P Jain…",Unsupervised neural text simplification,2018.0,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,arxiv.org,https://arxiv.org/abs/1810.07931,https://scholar.google.com/scholar?cites=8972809565799452669&as_sdt=2005&sciodt=2007&hl=en,13,2022-07-10 13:41,,,,,,,,,57,14.25,11,5,4.0,The paper presents a first attempt towards unsupervised neural text simplification that relies only on unlabeled text corpora. The core framework is composed of a shared encoder and a …,https://arxiv.org/pdf/1810.07931,https://scholar.google.com/scholar?q=related:_Q-0lsLShXwJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
153,"SA Crossley, D Allen…",Text simplification and comprehensible input: A case for an intuitive approach,2012.0,Language Teaching …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1362168811423456,https://scholar.google.com/scholar?cites=7502307893243285457&as_sdt=2005&sciodt=2007&hl=en,14,2022-07-10 13:41,,10.1177/1362168811423456,,,,,,,153,15.3,51,3,10.0,… simplification upon the linguistic features of texts remain largely unexplored. Here we examine the effects of one type of text simplification: intuitive text simplification… of simplification (…,https://shared.cas.gsu.edu/files/2014/03/Text-simplification-and-comprehensible-input-A-case-for-an-intuitive-approach.pdf,https://scholar.google.com/scholar?q=related:0Q9grEeNHWgJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
47,"S Bott, H Saggion, S Mille",Text simplification tools for spanish,2012.0,Proceedings of the Eighth …,aclanthology.org,https://aclanthology.org/L12-1446/,https://scholar.google.com/scholar?cites=14854012865122915618&as_sdt=2005&sciodt=2007&hl=en,15,2022-07-10 13:41,HTML,,,,,,,,47,4.7,16,3,10.0,… of a text simplification system for Spanish. Text simplification is the adaptation of a text to the … Automatic simplification is a field which attracts growing attention in Natural Language …,https://aclanthology.org/L12-1446/,https://scholar.google.com/scholar?q=related:ItW7OgAOJM4J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
56,"E Sulem, O Abend, A Rappoport",Simple and effective text simplification using semantic and neural methods,2018.0,arXiv preprint arXiv:1810.05104,arxiv.org,https://arxiv.org/abs/1810.05104,https://scholar.google.com/scholar?cites=14003054179237134066&as_sdt=2005&sciodt=2007&hl=en,16,2022-07-10 13:41,,,,,,,,,56,14.0,19,3,4.0,"… Text Simplification (TS) is generally defined as the … The main structural simplification operation is sentence splitting, … of sentence splitting in the simplification system could also reduce …",https://arxiv.org/pdf/1810.05104,https://scholar.google.com/scholar?q=related:8n76q5XXVMIJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
124,"L Rello, R Baeza-Yates, S Bott, H Saggion",Simplify or help? Text simplification strategies for people with dyslexia,2013.0,Proceedings of the 10th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2461121.2461126,https://scholar.google.com/scholar?cites=3908395372249978150&as_sdt=2005&sciodt=2007&hl=en,17,2022-07-10 13:41,,10.1145/2461121.2461126,,,,,,,124,13.78,31,4,9.0,"… To study the effect of the two text simplification strate gies, we conducted an experiment with 96 participants (47 with dyslexia) using eye-tracking, questionnaires, and dif ferent reading …",http://readabilityguidelines.wikidot.com/local--files/sentence-length/Simplify%20or%20Help%20Rello%20et%20al.pdf,https://scholar.google.com/scholar?q=related:JpW9LOJoPTYJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
31,"D Nishihara, T Kajiwara, Y Arase",Controllable text simplification with lexical constraint loss,2019.0,… of the 57th annual meeting of …,aclanthology.org,https://aclanthology.org/P19-2036/,https://scholar.google.com/scholar?cites=5589688034227112741&as_sdt=2005&sciodt=2007&hl=en,18,2022-07-10 13:41,HTML,,,,,,,,31,10.33,10,3,3.0,… of a sentence in a text simplification task. Text simplification is a monolingual translation task … Our text simplification method succeeds in translating an input into a specific grade level by …,https://aclanthology.org/P19-2036/,https://scholar.google.com/scholar?q=related:Jctb1aaPkk0J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
10,"K Omelianchuk, V Raheja, O Skurzhanskyi",Text simplification by tagging,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2103.05070,https://scholar.google.com/scholar?cites=17982295890903977569&as_sdt=2005&sciodt=2007&hl=en,19,2022-07-10 13:41,,,,,,,,,10,10.0,3,3,1.0,"… ) models, which learn to generate text from scratch as they are … TST, a simple and efficient Text Simplification system based on … than the current state-of-the-art text simplification system. …",https://arxiv.org/pdf/2103.05070,https://scholar.google.com/scholar?q=related:YU5Mp9byjfkJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
28,"J Bingel, G Paetzold, A Søgaard","Lexi: A tool for adaptive, personalized text simplification",2018.0,Proceedings of the 27th …,aclanthology.org,https://aclanthology.org/C18-1021/,https://scholar.google.com/scholar?cites=16021410023026184250&as_sdt=2005&sciodt=2007&hl=en,20,2022-07-10 13:41,,,,,,,,,28,7.0,9,3,4.0,… on text simplification starts out by sketching the problem of text simplification as rewriting a text … We further refer to related work on specific aspects of text simplification as they become …,https://aclanthology.org/C18-1021.pdf,https://scholar.google.com/scholar?q=related:OtBb54d7V94J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
57,"T Wang, P Chen, J Rochford, J Qiang",Text simplification using neural machine translation,2016.0,Proceedings of the AAAI …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/9933,https://scholar.google.com/scholar?cites=16755246090432587157&as_sdt=2005&sciodt=2007&hl=en,21,2022-07-10 13:41,,,,,,,,,57,9.5,14,4,6.0,… simplify text only by lexical simplification or … text simplification rules by itself. Then we discuss challenges and strategies about how to apply a NMT model to the task of text simplification. …,https://ojs.aaai.org/index.php/AAAI/article/view/9933/9792,https://scholar.google.com/scholar?q=related:laV80IuXhugJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
11,"M Cooper, M Shardlow",CombiNMT: An exploration into neural text simplification models,2020.0,… of the 12th Language Resources and …,aclanthology.org,https://aclanthology.org/2020.lrec-1.686/,https://scholar.google.com/scholar?cites=13861415867124722245&as_sdt=2005&sciodt=2007&hl=en,22,2022-07-10 13:41,HTML,,,,,,,,11,5.5,6,2,2.0,… This work presents a replication study of Exploring Neural Text Simplification Models (Nisioi … significant improvement over any of the Neural Text Simplification (NTS) systems from the …,https://aclanthology.org/2020.lrec-1.686/,https://scholar.google.com/scholar?q=related:RaruS0qkXcAJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
60,"S Štajner, M Popović",Can text simplification help machine translation?,2016.0,… of the 19th Annual Conference of the …,aclanthology.org,https://aclanthology.org/W16-3411.pdf,https://scholar.google.com/scholar?cites=9734107654642944607&as_sdt=2005&sciodt=2007&hl=en,23,2022-07-10 13:41,PDF,,,,,,,,60,10.0,30,2,6.0,"… This article explores the use of text simplification as a pre-processing step for statistical … Furthermore, the use of more aggressive text simplification methods (which do not only simplify …",https://aclanthology.org/W16-3411.pdf,https://scholar.google.com/scholar?q=related:X0pnoFZ_FocJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
27,"L Van den Bercken, RJ Sips, C Lofi",Evaluating neural text simplification in the medical domain,2019.0,The World Wide Web Conference,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3308558.3313630,https://scholar.google.com/scholar?cites=12573617639452599666&as_sdt=2005&sciodt=2007&hl=en,24,2022-07-10 13:41,,10.1145/3308558.3313630,,,,,,,27,9.0,9,3,3.0,"… on text simplification in the medical domain. We first discuss lexical simplification, text simplification … Secondly, we discuss syntactic simplification: simplification which focuses on the …",https://www.researchgate.net/profile/Robert-Jan-Sips/publication/333067387_Evaluating_Neural_Text_Simplification_in_the_Medical_Domain/links/5ec7d2b0a6fdcc90d68d4173/Evaluating-Neural-Text-Simplification-in-the-Medical-Domain.pdf,https://scholar.google.com/scholar?q=related:cmUoDaB2fq4J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
64,"S Vajjala, D Meurers",Assessing the relative reading level of sentence pairs for text simplification,2014.0,Proceedings of the 14th Conference of the …,aclanthology.org,https://aclanthology.org/E14-1031.pdf,https://scholar.google.com/scholar?cites=6418819066659875639&as_sdt=2005&sciodt=2007&hl=en,25,2022-07-10 13:41,PDF,,,,,,,,64,8.0,32,2,8.0,"… Text simplification essentially is the process of rewriting a given text to make it easier to … users trying to understand a text or machine applications, such as a parser analyzing text. …",https://aclanthology.org/E14-1031.pdf,https://scholar.google.com/scholar?q=related:NyvEye45FFkJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
49,"G Paetzold, L Specia",Text simplification as tree transduction,2013.0,… of the 9th Brazilian Symposium in …,aclanthology.org,https://aclanthology.org/W13-4813.pdf,https://scholar.google.com/scholar?cites=12657049605847132017&as_sdt=2005&sciodt=2007&hl=en,26,2022-07-10 13:41,PDF,,,,,,,,49,5.44,25,2,9.0,… We have presented an approach for syntactic and lexical text simplification via the learning of tree-substitution grammars followed by rule selection and ranking of the modified …,https://aclanthology.org/W13-4813.pdf,https://scholar.google.com/scholar?q=related:cScEfY7fpq8J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
32,"S Štajner, I Calixto, H Saggion",Automatic text simplification for spanish: Comparative evaluation of various simplification strategies,2015.0,Proceedings of the international …,aclanthology.org,https://aclanthology.org/R15-1080.pdf,https://scholar.google.com/scholar?cites=16805465945464092046&as_sdt=2005&sciodt=2007&hl=en,27,2022-07-10 13:41,PDF,,,,,,,,32,4.57,11,3,7.0,"… currently-known text simplification (TS… text simplification system for Spanish (Saggion et al., 2015). Our experiments make several contributions to the field of automatic text simplification …",https://aclanthology.org/R15-1080.pdf,https://scholar.google.com/scholar?q=related:jrVP_DwCOekJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
56,"AA Mandya, T Nomoto…",Lexico-syntactic text simplification and compression with typed dependencies,2014.0,25th International …,aura.abdn.ac.uk,http://aura.abdn.ac.uk/bitstream/handle/2164/4868/C14_1188.pdf?sequence=1,https://scholar.google.com/scholar?cites=4323255533918865563&as_sdt=2005&sciodt=2007&hl=en,28,2022-07-10 13:41,PDF,,,,,,,,56,7.0,19,3,8.0,"… Second, we want to compare two different approaches to text simplification. In this paper, we present a text simplification system that can perform lexical and syntactic simplification (§3), …",http://aura.abdn.ac.uk/bitstream/handle/2164/4868/C14_1188.pdf?sequence=1,https://scholar.google.com/scholar?q=related:m8h5pABK_zsJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
28,"M Maddela, F Alva-Manchego, W Xu",Controllable text simplification with explicit paraphrasing,2020.0,arXiv preprint arXiv:2010.11004,arxiv.org,https://arxiv.org/abs/2010.11004,https://scholar.google.com/scholar?cites=6875250744020223317&as_sdt=2005&sciodt=2007&hl=en,29,2022-07-10 13:41,,,,,,,,,28,14.0,9,3,2.0,"… Text Simplification improves the readability of sentences … Text Simplification aims to improve the readability of texts with … Since 2016, nearly all text simplification systems have been …",https://arxiv.org/pdf/2010.11004,https://scholar.google.com/scholar?q=related:VcUQAyDMaV8J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
44,"S Štajner, H Béchara, H Saggion",A deeper exploration of the standard PB-SMT approach to text simplification and its evaluation,2015.0,… of the 53rd Annual Meeting of …,aclanthology.org,https://aclanthology.org/P15-2135.pdf,https://scholar.google.com/scholar?cites=15368754912553951806&as_sdt=2005&sciodt=2007&hl=en,30,2022-07-10 13:41,PDF,,,,,,,,44,6.29,15,3,7.0,… been a growing number of studies addressing the Text Simplification (TS) task as a mono… the effectiveness of such a MT approach to text simplification. We conduct 40 experiments on …,https://aclanthology.org/P15-2135.pdf,https://scholar.google.com/scholar?q=related:PmLRcirJSNUJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
40,"D Brunato, F Dell'Orletta, G Venturi…",Design and annotation of the first Italian corpus for text simplification,2015.0,Proceedings of The …,aclanthology.org,https://aclanthology.org/W15-1604.pdf,https://scholar.google.com/scholar?cites=5340878296049256101&as_sdt=2005&sciodt=2007&hl=en,31,2022-07-10 13:41,PDF,,,,,,,,40,5.71,10,4,7.0,… for automatic and semi–automatic text simplification. In line with … of two different manual simplification strategies and addressing … and semi-automatic text simplification. We collected and …,https://aclanthology.org/W15-1604.pdf,https://scholar.google.com/scholar?q=related:pQacWIOcHkoJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
70,"S Vajjala, I Lučić",OneStopEnglish corpus: A new corpus for automatic readability assessment and text simplification,2018.0,Proceedings of the thirteenth workshop on …,aclanthology.org,https://aclanthology.org/W18-0535/,https://scholar.google.com/scholar?cites=3261826949236752924&as_sdt=2005&sciodt=2007&hl=en,32,2022-07-10 13:41,,,,,,,,,70,17.5,35,2,4.0,… readability classification and text simplification. The corpus is … assessment and text simplification using this corpus. Section … adds a new resource for the English text simplification …,https://aclanthology.org/W18-0535.pdf,https://scholar.google.com/scholar?q=related:HIINFFRWRC0J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
23,"Y Zhong, C Jiang, W Xu, JJ Li",Discourse level factors for sentence deletion in text simplification,2020.0,Proceedings of the AAAI Conference on …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/6520,https://scholar.google.com/scholar?cites=12816026515764284397&as_sdt=2005&sciodt=2007&hl=en,33,2022-07-10 13:41,,,,,,,,,23,11.5,6,4,2.0,… This paper presents a parallel text simplification corpus with manually aligned sentences across multiple reading levels from the Newsela dataset. Our corpus analysis show that …,https://ojs.aaai.org/index.php/AAAI/article/download/6520/6376,https://scholar.google.com/scholar?q=related:7QsewDas27EJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
27,"C Scarton, G Paetzold, L Specia",Text simplification from professionally produced corpora,2018.0,Proceedings of the Eleventh …,aclanthology.org,https://aclanthology.org/L18-1553.pdf,https://scholar.google.com/scholar?cites=8772095085715295348&as_sdt=2005&sciodt=2007&hl=en,34,2022-07-10 13:41,PDF,,,,,,,,27,6.75,9,3,4.0,… reliable datasets has been hindering progress in Text Simplification (TS). We investigate the … sentence simplification patterns in more effective ways than corpora used in previous work. …,https://aclanthology.org/L18-1553.pdf,https://scholar.google.com/scholar?q=related:dIwCAAG-vHkJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
45,"D Klaper, S Ebling, M Volk",Building a German/simple German parallel corpus for automatic text simplification,2013.0,,zora.uzh.ch,https://www.zora.uzh.ch/id/eprint/78610/,https://scholar.google.com/scholar?cites=4623988605209692584&as_sdt=2005&sciodt=2007&hl=en,35,2022-07-10 13:41,,,,,,,,,45,5.0,15,3,9.0,In this paper we report our experiments in creating a parallel corpus using German/Simple German documents from the web. We require parallel data to build a statistical machine …,https://www.zora.uzh.ch/id/eprint/78610/1/8_Paper.pdf,https://scholar.google.com/scholar?q=related:qEn6MiO1K0AJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
4,S Štajner,Automatic Text Simplification for Social Good: Progress and Challenges,2021.0,Findings of the Association for Computational …,aclanthology.org,https://aclanthology.org/2021.findings-acl.233.pdf,https://scholar.google.com/scholar?cites=1653491716707625591&as_sdt=2005&sciodt=2007&hl=en,36,2022-07-10 13:41,PDF,,,,,,,,4,4.0,4,1,1.0,"… , and 89.4% of population needs conceptual simplification (Table 1). 1.2 Manual Text Simplification Text simplification aims to transform original texts into their simpler variants, which …",https://aclanthology.org/2021.findings-acl.233.pdf,https://scholar.google.com/scholar?q=related:d6porfRh8hYJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
1,S Gooding,On the Ethical Considerations of Text Simplification,2022.0,arXiv preprint arXiv:2204.09565,arxiv.org,https://arxiv.org/abs/2204.09565,https://scholar.google.com/scholar?cites=15092150738809830330&as_sdt=2005&sciodt=2007&hl=en,37,2022-07-10 13:41,,,,,,,,,1,1.0,1,1,1.0,… of text simplification within the framework of assistive systems. We argue that a distinction should be made between the technologies that perform text simplification … the framing of text sim…,https://arxiv.org/pdf/2204.09565,https://scholar.google.com/scholar?q=related:urtooyIXctEJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
4,"F Alva-Manchego, C Scarton, L Specia",The (un) suitability of automatic evaluation metrics for text simplification,2021.0,Computational Linguistics,direct.mit.edu,https://direct.mit.edu/coli/article-abstract/47/4/861/106930,https://scholar.google.com/scholar?cites=1603060287696645188&as_sdt=2005&sciodt=2007&hl=en,38,2022-07-10 13:41,,,,,,,,,4,4.0,1,3,1.0,"… Despite this multi-operation nature, evaluation of automatic simplification systems relies on … Second, we conduct the first meta-evaluation of automatic metrics in Text Simplification, …",https://direct.mit.edu/coli/article/47/4/861/106930,https://scholar.google.com/scholar?q=related:RKyxmdY2PxYJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
